Sample_No,Date,Sample_Point,Town,Measure,Result,Units
620653,2070-03-21,BL_15407,Blancathey,E. coli,0,Orgs/100mL
683835,2070-03-26,WA_12344,Wakefield,E. coli,0,Orgs/100mL
667699,2070-03-26,WA_12344,Wakefield,Chlorine Total,0.31,mg/L
645661,2070-03-26,WA_12344,Wakefield,Turbidity,0.05,NTU
654295,2070-03-26,ME_12236,Merton,E. coli,0,Orgs/100mL
672241,2070-03-26,ME_12236,Merton,Chlorine Total,0.025,mg/L
635532,2070-03-26,ME_12236,Merton,Turbidity,0.05,NTU
652624,2070-03-26,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
661787,2070-03-26,SN_19642,Snake's Canyon,Chlorine Total,0.06,mg/L
693157,2070-03-26,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
638822,2070-03-26,SW_15541,Swadlincote,Chlorine Total,0.14,mg/L
623589,2070-03-26,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
600733,2070-03-26,SW_15541,Swadlincote,Turbidity,0.05,NTU
606183,2070-03-26,SO_12771,Southwold,E. coli,0,Orgs/100mL
688803,2070-03-26,SO_12771,Southwold,Chlorine Total,0.025,mg/L
697871,2070-03-26,SO_12771,Southwold,THM,0.47533,mg/L
606263,2070-03-26,SO_12771,Southwold,Turbidity,0.05,NTU
672356,2070-03-26,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
608818,2070-03-26,TA_18370,Tarnstead,Chlorine Total,0.025,mg/L
648769,2070-03-26,TA_18370,Tarnstead,Turbidity,0.1,NTU
689352,2070-03-28,BL_11064,Blancathey,THM,0.001,mg/L
634898,2070-03-28,BL_11064,Blancathey,Turbidity,0.05,NTU
606842,2070-03-28,BL_11064,Blancathey,E. coli,0,Orgs/100mL
690901,2070-03-28,BL_11064,Blancathey,Chlorine Total,0.025,mg/L
632223,2070-04-03,SN_11009,Snake's Canyon,Chlorine Total,0.025,mg/L
691858,2070-04-03,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
696795,2070-04-03,SN_11009,Snake's Canyon,Turbidity,0.05,NTU
605345,2070-04-03,ME_16234,Merton,Chlorine Total,0.025,mg/L
626269,2070-04-03,ME_16234,Merton,E. coli,0,Orgs/100mL
636732,2070-04-03,ME_16234,Merton,THM,0.02,mg/L
644966,2070-04-03,ME_16234,Merton,Turbidity,0.05,NTU
696388,2070-04-03,WA_16411,Wakefield,E. coli,0,Orgs/100mL
672805,2070-04-03,WA_16411,Wakefield,Chlorine Total,0.75,mg/L
644396,2070-04-03,WA_16411,Wakefield,Turbidity,0.05,NTU
605161,2070-04-03,TA_15138,Tarnstead,Chlorine Total,0.45,mg/L
679572,2070-04-03,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
613251,2070-04-03,TA_15138,Tarnstead,Turbidity,0.05,NTU
608836,2070-04-03,SO_12411,Southwold,E. coli,0,Orgs/100mL
649057,2070-04-03,SO_12411,Southwold,Chlorine Total,0.025,mg/L
685020,2070-04-03,SO_12411,Southwold,Turbidity,0.05,NTU
638291,2070-04-03,SW_17608,Swadlincote,Chlorine Total,0.3,mg/L
673325,2070-04-03,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
687567,2070-04-03,SW_17608,Swadlincote,Turbidity,0.1,NTU
649190,2070-04-03,WA_11938,Wakefield,E. coli,0,Orgs/100mL
620877,2070-04-03,WA_11938,Wakefield,Chlorine Total,0.025,mg/L
670464,2070-04-06,BL_15694,Blancathey,Chlorine Total,0.92,mg/L
686327,2070-04-06,BL_15694,Blancathey,Turbidity,0.05,NTU
600940,2070-04-06,BL_15694,Blancathey,E. coli,0,Orgs/100mL
617259,2070-04-09,TA_16763,Tarnstead,Chlorine Total,0.06,mg/L
633519,2070-04-09,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
634997,2070-04-09,TA_16763,Tarnstead,Turbidity,0.05,NTU
646041,2070-04-09,ME_15385,Merton,E. coli,0,Orgs/100mL
639410,2070-04-09,ME_15385,Merton,Chlorine Total,0.05,mg/L
654807,2070-04-09,ME_15385,Merton,Turbidity,0.1,NTU
689951,2070-04-09,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
635258,2070-04-09,SW_14500,Swadlincote,Chlorine Total,0.25,mg/L
632844,2070-04-09,SW_14500,Swadlincote,Turbidity,0.2,NTU
609795,2070-04-09,WA_13998,Wakefield,E. coli,0,Orgs/100mL
682013,2070-04-09,WA_13998,Wakefield,Chlorine Total,0.74,mg/L
699652,2070-04-09,WA_13998,Wakefield,Turbidity,0.05,NTU
639398,2070-04-09,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
653843,2070-04-09,SN_15191,Snake's Canyon,Chlorine Total,0.025,mg/L
616168,2070-04-09,SN_15191,Snake's Canyon,Turbidity,0.05,NTU
648650,2070-04-09,SN_15191,Snake's Canyon,THM,0.001,mg/L
687657,2070-04-09,SO_17995,Southwold,E. coli,0,Orgs/100mL
614681,2070-04-09,SO_17995,Southwold,Chlorine Total,0.08,mg/L
645868,2070-04-09,SO_17995,Southwold,Turbidity,0.05,NTU
676617,2070-04-09,SO_17995,Southwold,THM,0.001,mg/L
610159,2070-04-11,BL_10901,Blancathey,Turbidity,0.05,NTU
642667,2070-04-11,BL_10901,Blancathey,E. coli,0,Orgs/100mL
698893,2070-04-11,BL_10901,Blancathey,Chlorine Total,0.23,mg/L
601570,2070-04-16,SO_13001,Southwold,E. coli,0,Orgs/100mL
639885,2070-04-16,SO_13001,Southwold,Turbidity,0.1,NTU
634110,2070-04-16,SO_13001,Southwold,Chlorine Total,0.07,mg/L
637821,2070-04-16,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
605157,2070-04-16,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
642105,2070-04-16,SN_16059,Snake's Canyon,Turbidity,0.1,NTU
606110,2070-04-16,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
610206,2070-04-16,TA_13119,Tarnstead,THM,0.037,mg/L
648969,2070-04-16,TA_13119,Tarnstead,Chlorine Total,0.29,mg/L
643148,2070-04-16,TA_13119,Tarnstead,Turbidity,0.2,NTU
601040,2070-04-16,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
681179,2070-04-16,SW_10228,Swadlincote,THM,0.023,mg/L
633742,2070-04-16,SW_10228,Swadlincote,Chlorine Total,0.5,mg/L
644551,2070-04-16,SW_10228,Swadlincote,Turbidity,0.1,NTU
642375,2070-04-16,ME_14915,Merton,E. coli,0,Orgs/100mL
631473,2070-04-16,ME_14915,Merton,Chlorine Total,0.025,mg/L
663631,2070-04-16,ME_14915,Merton,Turbidity,0.1,NTU
631635,2070-04-16,WA_17036,Wakefield,E. coli,0,Orgs/100mL
663412,2070-04-16,WA_17036,Wakefield,Chlorine Total,1.5,mg/L
656124,2070-04-16,WA_17036,Wakefield,Turbidity,0.3,NTU
658024,2070-04-16,WA_17036,Wakefield,THM,0.001,mg/L
604241,2070-04-18,BL_19383,Blancathey,Turbidity,0.2,NTU
672226,2070-04-18,BL_19383,Blancathey,THM,5e-4,mg/L
674663,2070-04-18,BL_19383,Blancathey,Chlorine Total,0.32,mg/L
670552,2070-04-18,BL_19383,Blancathey,E. coli,0,Orgs/100mL
694841,2070-04-23,ME_19428,Merton,Chlorine Total,0.06,mg/L
659566,2070-04-23,ME_19428,Merton,Turbidity,0.1,NTU
673008,2070-04-23,ME_19428,Merton,E. coli,0,Orgs/100mL
603347,2070-04-23,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
687552,2070-04-23,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
643260,2070-04-23,SN_10238,Snake's Canyon,Chlorine Total,0.025,mg/L
643715,2070-04-23,SO_15923,Southwold,E. coli,0,Orgs/100mL
660479,2070-04-23,SO_15923,Southwold,Turbidity,0.1,NTU
656405,2070-04-23,SO_15923,Southwold,Chlorine Total,0.025,mg/L
656540,2070-04-23,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
636453,2070-04-23,SW_14394,Swadlincote,Turbidity,0.1,NTU
642459,2070-04-23,SW_14394,Swadlincote,Chlorine Total,0.72,mg/L
613994,2070-04-23,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
668139,2070-04-23,TA_13630,Tarnstead,Turbidity,0.1,NTU
625549,2070-04-23,TA_13630,Tarnstead,Chlorine Total,0.39,mg/L
668500,2070-04-23,WA_16258,Wakefield,Chlorine Total,0.12,mg/L
641717,2070-04-23,WA_16258,Wakefield,Turbidity,0.2,NTU
679670,2070-04-23,WA_16258,Wakefield,E. coli,0,Orgs/100mL
604236,2070-04-26,BL_11246,Blancathey,E. coli,0,Orgs/100mL
626004,2070-04-26,BL_11246,Blancathey,Turbidity,0.1,NTU
673922,2070-04-26,BL_11246,Blancathey,Chlorine Total,0.1,mg/L
682065,2070-04-30,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
684302,2070-04-30,TA_18826,Tarnstead,Turbidity,0.2,NTU
673662,2070-04-30,TA_18826,Tarnstead,Chlorine Total,0.025,mg/L
621154,2070-04-30,ME_12236,Merton,Chlorine Total,0.08,mg/L
602876,2070-04-30,ME_12236,Merton,E. coli,0,Orgs/100mL
660005,2070-04-30,ME_12236,Merton,Turbidity,0.1,NTU
635431,2070-04-30,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
682231,2070-04-30,SN_12633,Snake's Canyon,Chlorine Total,0.025,mg/L
608646,2070-04-30,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
615792,2070-04-30,SO_17522,Southwold,E. coli,0,Orgs/100mL
674343,2070-04-30,SO_17522,Southwold,Chlorine Total,0.05,mg/L
695249,2070-04-30,SO_17522,Southwold,Turbidity,0.1,NTU
654046,2070-04-30,SW_10733,Swadlincote,Chlorine Total,0.48,mg/L
691544,2070-04-30,SW_10733,Swadlincote,Turbidity,0.1,NTU
609104,2070-04-30,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
699845,2070-04-30,WA_19229,Wakefield,E. coli,0,Orgs/100mL
656198,2070-04-30,WA_19229,Wakefield,Turbidity,0.1,NTU
661249,2070-04-30,WA_19229,Wakefield,Chlorine Total,0.43,mg/L
637435,2070-05-02,BL_12796,Blancathey,E. coli,0,Orgs/100mL
652331,2070-05-02,BL_12796,Blancathey,Turbidity,0.1,NTU
653605,2070-05-02,BL_12796,Blancathey,Chlorine Total,0.45,mg/L
694694,2070-05-07,SO_16361,Southwold,E. coli,0,Orgs/100mL
600870,2070-05-07,SO_16361,Southwold,Turbidity,0.2,NTU
637502,2070-05-07,SO_16361,Southwold,Chlorine Total,0.025,mg/L
673913,2070-05-07,ME_16234,Merton,E. coli,0,Orgs/100mL
656382,2070-05-07,ME_16234,Merton,Turbidity,0.1,NTU
630474,2070-05-07,ME_16234,Merton,Chlorine Total,0.025,mg/L
637948,2070-05-07,WA_15863,Wakefield,E. coli,0,Orgs/100mL
611197,2070-05-07,WA_15863,Wakefield,Chlorine Total,0.14,mg/L
686855,2070-05-07,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
667764,2070-05-07,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
608392,2070-05-07,SN_19642,Snake's Canyon,Chlorine Total,0.025,mg/L
688628,2070-05-07,SN_19642,Snake's Canyon,THM,0.002,mg/L
603066,2070-05-07,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
603344,2070-05-07,TA_16957,Tarnstead,Turbidity,5.5,NTU
611417,2070-05-07,TA_16957,Tarnstead,Chlorine Total,0.025,mg/L
661321,2070-05-07,WA_16258,Wakefield,E. coli,0,Orgs/100mL
697261,2070-05-07,WA_16258,Wakefield,Turbidity,0.2,NTU
615737,2070-05-07,WA_16258,Wakefield,Chlorine Total,0.12,mg/L
669141,2070-05-07,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
652422,2070-05-07,SW_17048,Swadlincote,Turbidity,0.1,NTU
696032,2070-05-07,SW_17048,Swadlincote,Chlorine Total,0.5,mg/L
609214,2070-05-09,BL_10984,Blancathey,Turbidity,0.1,NTU
693773,2070-05-09,BL_10984,Blancathey,E. coli,0,Orgs/100mL
605400,2070-05-09,BL_10984,Blancathey,Chlorine Total,0.025,mg/L
683338,2070-05-14,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
635210,2070-05-14,SN_11009,Snake's Canyon,Chlorine Total,0.14,mg/L
641471,2070-05-14,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
612713,2070-05-14,SO_18289,Southwold,Chlorine Total,0.025,mg/L
634008,2070-05-14,SO_18289,Southwold,E. coli,0,Orgs/100mL
628575,2070-05-14,SO_18289,Southwold,Turbidity,0.3,NTU
631886,2070-05-14,ME_14915,Merton,Turbidity,0.1,NTU
615581,2070-05-14,ME_14915,Merton,Chlorine Total,0.1,mg/L
623479,2070-05-14,ME_14915,Merton,THM,0.004,mg/L
670810,2070-05-14,ME_14915,Merton,E. coli,0,Orgs/100mL
671926,2070-05-14,WA_12574,Wakefield,Chlorine Total,0.85,mg/L
682676,2070-05-14,WA_12574,Wakefield,THM,0.002,mg/L
691985,2070-05-14,WA_12574,Wakefield,Turbidity,0.1,NTU
625670,2070-05-14,WA_12574,Wakefield,E. coli,0,Orgs/100mL
646892,2070-05-14,SW_15551,Swadlincote,Chlorine Total,0.32,mg/L
674671,2070-05-14,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
657679,2070-05-14,SW_15551,Swadlincote,THM,0.027,mg/L
657814,2070-05-14,SW_15551,Swadlincote,Turbidity,0.1,NTU
699122,2070-05-14,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
663415,2070-05-14,TA_19639,Tarnstead,Chlorine Total,0.18,mg/L
609055,2070-05-14,TA_19639,Tarnstead,Turbidity,0.1,NTU
607220,2070-05-14,TA_19639,Tarnstead,THM,0.03,mg/L
672298,2070-05-16,BL_10027,Blancathey,E. coli,0,Orgs/100mL
620477,2070-05-16,BL_10027,Blancathey,THM,0.001,mg/L
615953,2070-05-16,BL_10027,Blancathey,Turbidity,0.1,NTU
635099,2070-05-16,BL_10027,Blancathey,Chlorine Total,0.09,mg/L
697437,2070-05-21,WA_14286,Wakefield,E. coli,0,Orgs/100mL
602420,2070-05-21,WA_14286,Wakefield,Turbidity,0.05,NTU
668740,2070-05-21,WA_14286,Wakefield,Chlorine Total,0.32,mg/L
695303,2070-05-21,ME_15385,Merton,E. coli,0,Orgs/100mL
657099,2070-05-21,ME_15385,Merton,Turbidity,0.1,NTU
679250,2070-05-21,ME_15385,Merton,Chlorine Total,0.11,mg/L
639034,2070-05-21,SO_13252,Southwold,Chlorine Total,0.07,mg/L
648906,2070-05-21,SO_13252,Southwold,THM,0.008,mg/L
695738,2070-05-21,SO_13252,Southwold,E. coli,0,Orgs/100mL
603899,2070-05-21,SO_13252,Southwold,Turbidity,0.1,NTU
601800,2070-05-21,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
621694,2070-05-21,TA_18683,Tarnstead,Turbidity,0.2,NTU
627461,2070-05-21,TA_18683,Tarnstead,Chlorine Total,0.025,mg/L
605515,2070-05-21,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
683310,2070-05-21,SW_14121,Swadlincote,Chlorine Total,0.45,mg/L
605873,2070-05-21,SW_14121,Swadlincote,Turbidity,0.2,NTU
691343,2070-05-21,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
618700,2070-05-21,SN_15191,Snake's Canyon,Chlorine Total,0.08,mg/L
651930,2070-05-21,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
616596,2070-05-23,BL_15407,Blancathey,Turbidity,0.2,NTU
694142,2070-05-23,BL_15407,Blancathey,E. coli,0,Orgs/100mL
674979,2070-05-23,BL_15407,Blancathey,Chlorine Total,0.06,mg/L
606643,2070-05-28,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
628589,2070-05-28,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
688902,2070-05-28,SN_16059,Snake's Canyon,Turbidity,0.1,NTU
648190,2070-05-28,ME_19428,Merton,E. coli,0,Orgs/100mL
674826,2070-05-28,ME_19428,Merton,Chlorine Total,0.18,mg/L
679753,2070-05-28,ME_19428,Merton,Turbidity,0.1,NTU
630521,2070-05-28,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
661612,2070-05-28,SW_15541,Swadlincote,Chlorine Total,0.15,mg/L
621465,2070-05-28,SW_15541,Swadlincote,Turbidity,0.1,NTU
650526,2070-05-28,SO_12771,Southwold,Chlorine Total,0.06,mg/L
659614,2070-05-28,SO_12771,Southwold,E. coli,0,Orgs/100mL
656404,2070-05-28,SO_12771,Southwold,Turbidity,0.1,NTU
663021,2070-05-28,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
694768,2070-05-28,TA_18370,Tarnstead,Chlorine Total,0.06,mg/L
670888,2070-05-28,TA_18370,Tarnstead,Turbidity,0.1,NTU
661303,2070-05-28,WA_11283,Wakefield,E. coli,0,Orgs/100mL
604565,2070-05-28,WA_11283,Wakefield,Chlorine Total,1.32,mg/L
639476,2070-05-28,WA_11283,Wakefield,Turbidity,0.05,NTU
615399,2070-05-30,BL_11064,Blancathey,Chlorine Total,0.14,mg/L
620392,2070-05-30,BL_11064,Blancathey,Turbidity,4.78,NTU
696356,2070-05-30,BL_11064,Blancathey,E. coli,0,Orgs/100mL
641282,2070-06-04,WA_11471,Wakefield,Chlorine Total,0.61,mg/L
623032,2070-06-04,WA_11471,Wakefield,E. coli,0,Orgs/100mL
612747,2070-06-04,TA_15138,Tarnstead,Chlorine Total,0.22,mg/L
639349,2070-06-04,TA_15138,Tarnstead,Turbidity,0.1,NTU
600434,2070-06-04,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
652167,2070-06-04,SO_12411,Southwold,Turbidity,0.1,NTU
638717,2070-06-04,SO_12411,Southwold,Chlorine Total,0.07,mg/L
680919,2070-06-04,SO_12411,Southwold,E. coli,0,Orgs/100mL
684374,2070-06-04,ME_12236,Merton,Turbidity,0.1,NTU
606668,2070-06-04,ME_12236,Merton,Chlorine Total,0.025,mg/L
690522,2070-06-04,ME_12236,Merton,E. coli,0,Orgs/100mL
655606,2070-06-04,WA_11512,Wakefield,Turbidity,0.1,NTU
610259,2070-06-04,WA_11512,Wakefield,Chlorine Total,1.55,mg/L
646694,2070-06-04,WA_11512,Wakefield,E. coli,0,Orgs/100mL
631836,2070-06-04,SW_17608,Swadlincote,Chlorine Total,0.32,mg/L
667573,2070-06-04,SW_17608,Swadlincote,Turbidity,0.1,NTU
689385,2070-06-04,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
695327,2070-06-04,SN_10238,Snake's Canyon,Turbidity,0.2,NTU
600404,2070-06-04,SN_10238,Snake's Canyon,Chlorine Total,0.17,mg/L
684235,2070-06-04,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
653141,2070-06-06,BL_15694,Blancathey,Chlorine Total,0.65,mg/L
670547,2070-06-06,BL_15694,Blancathey,E. coli,0,Orgs/100mL
678995,2070-06-06,BL_15694,Blancathey,Turbidity,0.1,NTU
626268,2070-06-12,ME_16234,Merton,THM,0.35546,mg/L
654741,2070-06-12,ME_16234,Merton,Chlorine Total,0.23,mg/L
611999,2070-06-12,ME_16234,Merton,E. coli,0,Orgs/100mL
632653,2070-06-12,ME_16234,Merton,Turbidity,0.1,NTU
694554,2070-06-12,TA_16763,Tarnstead,THM,0.013,mg/L
639568,2070-06-12,TA_16763,Tarnstead,Chlorine Total,0.33,mg/L
612165,2070-06-12,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
604542,2070-06-12,TA_16763,Tarnstead,Turbidity,3.69,NTU
689136,2070-06-12,WA_12344,Wakefield,THM,0.003,mg/L
608859,2070-06-12,WA_12344,Wakefield,E. coli,0,Orgs/100mL
631327,2070-06-12,WA_12344,Wakefield,Chlorine Total,1.54,mg/L
633204,2070-06-12,WA_12344,Wakefield,Turbidity,0.3,NTU
622692,2070-06-12,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
656551,2070-06-12,SW_14500,Swadlincote,Chlorine Total,0.51,mg/L
684994,2070-06-12,SW_14500,Swadlincote,Turbidity,0.1,NTU
600869,2070-06-12,SN_12633,Snake's Canyon,Chlorine Total,0.39,mg/L
680497,2070-06-12,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
651314,2070-06-12,SN_12633,Snake's Canyon,Turbidity,0.1,NTU
679383,2070-06-12,SO_17995,Southwold,E. coli,0,Orgs/100mL
668701,2070-06-12,SO_17995,Southwold,Chlorine Total,0.23,mg/L
617697,2070-06-12,SO_17995,Southwold,Turbidity,0.1,NTU
663471,2070-06-14,BL_10901,Blancathey,Chlorine Total,0.23,mg/L
680190,2070-06-14,BL_10901,Blancathey,Turbidity,0.05,NTU
600497,2070-06-14,BL_10901,Blancathey,E. coli,0,Orgs/100mL
623402,2070-06-18,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
642296,2070-06-18,SN_11009,Snake's Canyon,Chlorine Total,0.55,mg/L
610951,2070-06-18,SN_11009,Snake's Canyon,THM,0.003,mg/L
626470,2070-06-18,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
634146,2070-06-18,SO_13001,Southwold,Chlorine Total,0.86,mg/L
606122,2070-06-18,SO_13001,Southwold,E. coli,0,Orgs/100mL
647750,2070-06-18,SO_13001,Southwold,Turbidity,0.3,NTU
690358,2070-06-18,SO_13001,Southwold,THM,0.059,mg/L
684479,2070-06-18,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
649452,2070-06-18,TA_13119,Tarnstead,Chlorine Total,0.19,mg/L
608344,2070-06-18,TA_13119,Tarnstead,Turbidity,0.2,NTU
686164,2070-06-18,WA_16411,Wakefield,Chlorine Total,1.47,mg/L
677851,2070-06-18,WA_16411,Wakefield,E. coli,0,Orgs/100mL
611998,2070-06-18,WA_16411,Wakefield,Turbidity,0.1,NTU
670482,2070-06-18,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
650814,2070-06-18,SW_10228,Swadlincote,Chlorine Total,0.49,mg/L
694329,2070-06-18,SW_10228,Swadlincote,Turbidity,0.4,NTU
676980,2070-06-18,SW_10228,Swadlincote,THM,0.02,mg/L
665781,2070-06-18,ME_14915,Merton,E. coli,0,Orgs/100mL
609146,2070-06-18,ME_14915,Merton,Chlorine Total,0.21,mg/L
653229,2070-06-18,ME_14915,Merton,Turbidity,0.2,NTU
652022,2070-06-20,BL_19383,Blancathey,E. coli,0,Orgs/100mL
651104,2070-06-20,BL_19383,Blancathey,Turbidity,0.1,NTU
667496,2070-06-20,BL_19383,Blancathey,Chlorine Total,0.66,mg/L
663976,2070-06-25,ME_15385,Merton,Chlorine Total,0.5,mg/L
652755,2070-06-25,ME_15385,Merton,E. coli,0,Orgs/100mL
631392,2070-06-25,ME_15385,Merton,Turbidity,0.2,NTU
636746,2070-06-25,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
667361,2070-06-25,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
670549,2070-06-25,SN_19642,Snake's Canyon,Chlorine Total,0.88,mg/L
615293,2070-06-25,SO_15923,Southwold,Chlorine Total,0.14,mg/L
616675,2070-06-25,SO_15923,Southwold,E. coli,0,Orgs/100mL
611037,2070-06-25,SO_15923,Southwold,Turbidity,0.1,NTU
600072,2070-06-25,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
670776,2070-06-25,SW_14394,Swadlincote,Chlorine Total,0.62,mg/L
614636,2070-06-25,SW_14394,Swadlincote,Turbidity,0.1,NTU
622961,2070-06-25,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
669159,2070-06-25,TA_13630,Tarnstead,Chlorine Total,0.06,mg/L
623507,2070-06-25,TA_13630,Tarnstead,Turbidity,0.2,NTU
644498,2070-06-25,WA_11938,Wakefield,Chlorine Total,0.69,mg/L
634836,2070-06-25,WA_11938,Wakefield,Turbidity,0.1,NTU
623736,2070-06-25,WA_11938,Wakefield,E. coli,0,Orgs/100mL
640634,2070-06-27,BL_11246,Blancathey,Turbidity,0.2,NTU
674150,2070-06-27,BL_11246,Blancathey,THM,0.002,mg/L
663687,2070-06-27,BL_11246,Blancathey,Chlorine Total,0.31,mg/L
621761,2070-06-27,BL_11246,Blancathey,E. coli,0,Orgs/100mL
688251,2070-07-02,ME_19428,Merton,Turbidity,0.2,NTU
656148,2070-07-02,ME_19428,Merton,E. coli,0,Orgs/100mL
658131,2070-07-02,ME_19428,Merton,Chlorine Total,1.37,mg/L
606965,2070-07-02,TA_18826,Tarnstead,Chlorine Total,0.22,mg/L
635462,2070-07-02,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
670988,2070-07-02,TA_18826,Tarnstead,Turbidity,3.39,NTU
640199,2070-07-02,SO_17522,Southwold,Turbidity,0.3,NTU
614406,2070-07-02,SO_17522,Southwold,E. coli,0,Orgs/100mL
654624,2070-07-02,SO_17522,Southwold,Chlorine Total,0.43,mg/L
692954,2070-07-02,WA_13998,Wakefield,Chlorine Total,1.51,mg/L
609074,2070-07-02,WA_13998,Wakefield,Turbidity,0.1,NTU
650966,2070-07-02,WA_13998,Wakefield,E. coli,0,Orgs/100mL
621294,2070-07-02,SW_10733,Swadlincote,Chlorine Total,0.45,mg/L
633045,2070-07-02,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
692095,2070-07-02,SW_10733,Swadlincote,Turbidity,0.1,NTU
600662,2070-07-02,SN_15191,Snake's Canyon,Chlorine Total,0.12,mg/L
606047,2070-07-02,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
603053,2070-07-02,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
668477,2070-07-04,BL_12796,Blancathey,E. coli,0,Orgs/100mL
627846,2070-07-05,BL_12796,Blancathey,Turbidity,0.2,NTU
690129,2070-07-05,BL_12796,Blancathey,Chlorine Total,0.83,mg/L
640459,2070-07-09,SO_16361,Southwold,Chlorine Total,0.13,mg/L
670277,2070-07-09,SO_16361,Southwold,Turbidity,0.2,NTU
668912,2070-07-09,SO_16361,Southwold,E. coli,0,Orgs/100mL
685496,2070-07-09,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
633722,2070-07-09,SN_16059,Snake's Canyon,Turbidity,0.2,NTU
685300,2070-07-09,SN_16059,Snake's Canyon,Chlorine Total,0.08,mg/L
634543,2070-07-09,ME_12236,Merton,THM,0.002,mg/L
606896,2070-07-09,ME_12236,Merton,Turbidity,0.2,NTU
643878,2070-07-09,ME_12236,Merton,E. coli,0,Orgs/100mL
698375,2070-07-09,ME_12236,Merton,Chlorine Total,1.21,mg/L
675555,2070-07-09,WA_17036,Wakefield,Chlorine Total,1.26,mg/L
685010,2070-07-09,WA_17036,Wakefield,THM,0.002,mg/L
680470,2070-07-09,WA_17036,Wakefield,E. coli,0,Orgs/100mL
686743,2070-07-09,WA_17036,Wakefield,Turbidity,0.2,NTU
661943,2070-07-09,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
658848,2070-07-09,TA_16957,Tarnstead,THM,0.013,mg/L
682877,2070-07-09,TA_16957,Tarnstead,Chlorine Total,0.11,mg/L
684859,2070-07-09,TA_16957,Tarnstead,Turbidity,2.42,NTU
649787,2070-07-09,WA_16258,Wakefield,E. coli,0,Orgs/100mL
625279,2070-07-09,WA_16258,Wakefield,Chlorine Total,0.81,mg/L
610652,2070-07-09,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
617569,2070-07-09,SW_17048,Swadlincote,Turbidity,0.2,NTU
668431,2070-07-09,SW_17048,Swadlincote,THM,0.021,mg/L
694980,2070-07-09,SW_17048,Swadlincote,Chlorine Total,0.37,mg/L
615445,2070-07-11,BL_10984,Blancathey,E. coli,0,Orgs/100mL
